iter	Passed	Remaining
0	10	10433
1	20	10411
2	31	10353
3	41	10330
4	51	10303
5	62	10310
6	72	10278
7	82	10245
8	92	10238
9	96	9507
10	106	9563
11	116	9590
12	127	9644
13	137	9670
14	147	9701
15	158	9731
16	168	9745
17	178	9763
18	189	9770
19	199	9777
20	209	9787
21	220	9792
22	230	9793
23	241	9806
24	251	9804
25	261	9804
26	273	9858
27	283	9853
28	294	9852
29	304	9841
30	314	9835
31	324	9827
32	335	9824
33	345	9817
34	355	9812
35	365	9796
36	376	9791
37	386	9787
38	396	9776
39	407	9772
40	417	9765
41	427	9759
42	438	9754
43	448	9745
44	458	9733
45	468	9726
46	479	9719
47	489	9712
48	500	9709
49	510	9700
50	520	9689
51	531	9681
52	541	9670
53	551	9664
54	561	9655
55	572	9642
56	582	9635
57	592	9625
58	602	9613
59	613	9603
60	623	9595
61	633	9584
62	643	9575
63	654	9565
64	664	9558
65	674	9546
66	684	9537
67	695	9528
68	705	9518
69	715	9511
70	726	9499
71	736	9490
72	746	9482
73	756	9472
74	767	9466
75	777	9457
76	788	9447
77	798	9437
78	808	9427
79	819	9419
80	829	9411
81	839	9402
82	850	9391
83	860	9381
84	870	9372
85	881	9364
86	891	9355
87	901	9343
88	911	9331
89	921	9321
90	932	9311
91	942	9301
92	952	9293
93	963	9285
94	973	9275
95	983	9263
96	994	9256
97	1004	9246
98	1014	9236
99	1025	9227
100	1035	9218
101	1045	9207
102	1056	9199
103	1066	9190
104	1077	9180
105	1087	9169
106	1097	9159
107	1107	9150
108	1118	9141
109	1128	9131
110	1138	9121
111	1149	9112
112	1159	9102
113	1169	9091
114	1179	9080
115	1190	9070
116	1200	9062
117	1211	9051
118	1221	9041
119	1231	9029
120	1241	9018
121	1251	9007
122	1261	8997
123	1272	8987
124	1272	8909
125	1293	8970
126	1320	9075
127	1342	9148
128	1369	9247
129	1385	9268
130	1399	9281
131	1409	9268
132	1420	9258
133	1433	9266
134	1444	9255
135	1454	9243
136	1471	9272
137	1482	9259
138	1493	9248
139	1503	9235
140	1513	9222
141	1524	9210
142	1535	9199
143	1545	9189
144	1556	9179
145	1567	9166
146	1577	9153
147	1587	9139
148	1597	9126
149	1608	9113
150	1618	9101
151	1628	9088
152	1639	9075
153	1649	9062
154	1660	9049
155	1670	9037
156	1680	9024
157	1681	8960
158	1691	8947
159	1702	8936
160	1712	8924
161	1722	8911
162	1733	8899
163	1753	8939
164	1775	8987
165	1792	9006
166	1805	9006
167	1818	9007
168	1831	9004
169	1843	8998
170	1857	9003
171	1879	9046
172	1894	9054
173	1904	9042
174	1915	9030
175	1926	9018
176	1936	9005
177	1947	8991
178	1957	8980
179	1968	8966
180	1979	8958
181	1990	8946
182	2001	8934
183	2011	8922
184	2022	8911
185	2033	8898
186	2044	8887
187	2054	8875
188	2065	8864
189	2076	8851
190	2079	8807
191	2090	8795
192	2100	8783
193	2111	8770
194	2121	8758
195	2132	8746
196	2142	8733
197	2153	8721
198	2164	8713
199	2175	8703
200	2186	8690
201	2196	8678
202	2208	8671
203	2219	8661
204	2220	8612
205	2231	8601
206	2242	8590
207	2253	8581
208	2264	8571
209	2275	8560
210	2293	8575
211	2304	8566
212	2317	8563
213	2328	8553
214	2340	8545
215	2351	8534
216	2361	8522
217	2372	8510
218	2384	8503
219	2395	8494
220	2406	8483
221	2417	8471
222	2427	8459
223	2438	8448
224	2449	8436
225	2459	8423
226	2470	8412
227	2481	8401
228	2492	8392
229	2503	8380
230	2513	8367
231	2523	8354
232	2534	8342
233	2544	8330
234	2555	8317
235	2575	8339
236	2586	8327
237	2597	8315
238	2607	8303
239	2618	8291
240	2628	8279
241	2639	8266
242	2649	8253
243	2659	8241
244	2670	8228
245	2680	8215
246	2690	8203
247	2701	8190
248	2712	8180
249	2723	8170
250	2733	8158
251	2744	8145
252	2754	8132
253	2764	8119
254	2774	8106
255	2785	8093
256	2795	8081
257	2805	8068
258	2818	8062
259	2828	8050
260	2838	8037
261	2849	8025
262	2859	8013
263	2869	8000
264	2880	7987
265	2890	7975
266	2900	7963
267	2910	7950
268	2920	7937
269	2931	7925
270	2941	7913
271	2952	7901
272	2962	7888
273	2972	7876
274	2982	7864
275	2993	7852
276	3003	7839
277	3013	7827
278	3024	7815
279	3034	7802
280	3044	7790
281	3054	7777
282	3064	7765
283	3075	7753
284	3085	7741
285	3096	7729
286	3106	7717
287	3116	7705
288	3126	7692
289	3137	7680
290	3147	7668
291	3157	7656
292	3168	7645
293	3178	7633
294	3189	7621
295	3199	7608
296	3209	7596
297	3219	7584
298	3230	7573
299	3240	7561
300	3250	7549
301	3261	7537
302	3271	7525
303	3281	7513
304	3291	7501
305	3302	7488
306	3312	7477
307	3322	7465
308	3333	7453
309	3343	7442
310	3354	7430
311	3364	7418
312	3374	7406
313	3384	7394
314	3394	7382
315	3404	7370
316	3415	7358
317	3425	7346
318	3435	7334
319	3446	7323
320	3456	7311
321	3466	7299
322	3477	7288
323	3487	7276
324	3497	7264
325	3507	7252
326	3517	7240
327	3528	7228
328	3538	7215
329	3548	7204
330	3558	7193
331	3569	7181
332	3579	7169
333	3589	7157
334	3599	7145
335	3610	7134
336	3620	7122
337	3630	7111
338	3641	7099
339	3651	7088
340	3661	7076
341	3672	7065
342	3682	7053
343	3692	7042
344	3703	7031
345	3705	7003
346	3715	6991
347	3725	6980
348	3735	6968
349	3746	6957
350	3756	6945
351	3766	6934
352	3776	6922
353	3787	6911
354	3797	6900
355	3808	6888
356	3818	6877
357	3828	6865
358	3839	6854
359	3849	6843
360	3859	6831
361	3869	6819
362	3879	6808
363	3890	6797
364	3900	6785
365	3910	6774
366	3920	6762
367	3931	6751
368	3941	6739
369	3951	6728
370	3961	6716
371	3972	6705
372	3982	6694
373	3992	6682
374	4002	6671
375	4013	6660
376	4023	6648
377	4033	6637
378	4044	6626
379	4054	6615
380	4065	6604
381	4075	6593
382	4085	6581
383	4095	6570
384	4106	6559
385	4116	6547
386	4126	6536
387	4136	6525
388	4146	6513
389	4157	6502
390	4167	6491
391	4178	6480
392	4188	6469
393	4198	6457
394	4208	6446
395	4219	6435
396	4229	6424
397	4239	6412
398	4249	6401
399	4260	6390
400	4270	6379
401	4280	6368
402	4291	6356
403	4301	6345
404	4311	6334
405	4321	6323
406	4332	6311
407	4342	6300
408	4352	6289
409	4363	6278
410	4373	6267
411	4383	6256
412	4393	6245
413	4404	6234
414	4414	6222
415	4424	6211
416	4435	6200
417	4445	6189
418	4456	6178
419	4466	6167
420	4476	6156
421	4486	6145
422	4497	6134
423	4507	6123
424	4517	6112
425	4528	6101
426	4538	6090
427	4548	6079
428	4559	6068
429	4569	6057
430	4579	6046
431	4590	6035
432	4600	6023
433	4610	6012
434	4621	6002
435	4631	5990
436	4641	5979
437	4651	5968
438	4661	5957
439	4671	5945
440	4682	5935
441	4692	5923
442	4702	5913
443	4713	5901
444	4722	5890
445	4733	5879
446	4743	5868
447	4754	5857
448	4764	5846
449	4774	5835
450	4784	5824
451	4795	5813
452	4805	5802
453	4815	5791
454	4825	5780
455	4836	5769
456	4846	5758
457	4856	5747
458	4866	5736
459	4877	5725
460	4887	5714
461	4897	5703
462	4907	5692
463	4918	5681
464	4928	5670
465	4938	5659
466	4949	5648
467	4959	5638
468	4970	5627
469	4980	5616
470	4990	5605
471	5001	5594
472	5011	5583
473	5021	5572
474	5032	5562
475	5042	5551
476	5052	5540
477	5063	5529
478	5073	5518
479	5083	5507
480	5094	5496
481	5104	5485
482	5114	5474
483	5124	5463
484	5134	5452
485	5144	5441
486	5154	5430
487	5165	5419
488	5175	5408
489	5185	5397
490	5196	5387
491	5206	5376
492	5217	5365
493	5227	5354
494	5237	5343
495	5248	5332
496	5258	5321
497	5268	5311
498	5278	5300
499	5289	5289
500	5299	5278
501	5310	5267
502	5320	5256
503	5330	5245
504	5340	5235
505	5351	5224
506	5361	5213
507	5371	5202
508	5382	5191
509	5392	5181
510	5403	5170
511	5413	5159
512	5423	5148
513	5433	5137
514	5444	5127
515	5454	5116
516	5465	5105
517	5475	5095
518	5485	5084
519	5496	5073
520	5506	5062
521	5516	5051
522	5526	5040
523	5536	5029
524	5537	5010
525	5547	4999
526	5557	4988
527	5568	4977
528	5578	4966
529	5588	4956
530	5599	4945
531	5609	4934
532	5619	4923
533	5629	4912
534	5640	4902
535	5650	4891
536	5660	4880
537	5671	4870
538	5681	4859
539	5691	4848
540	5702	4837
541	5712	4827
542	5722	4816
543	5733	4805
544	5743	4795
545	5753	4784
546	5764	4773
547	5774	4763
548	5785	4752
549	5795	4741
550	5806	4731
551	5816	4720
552	5827	4710
553	5837	4699
554	5848	4689
555	5859	4678
556	5869	4668
557	5880	4657
558	5890	4647
559	5900	4636
560	5911	4625
561	5921	4614
562	5931	4604
563	5941	4593
564	5952	4582
565	5962	4571
566	5972	4561
567	5982	4550
568	5993	4539
569	6003	4528
570	6013	4518
571	6023	4507
572	6034	4496
573	6044	4485
574	6054	4475
575	6065	4464
576	6075	4453
577	6085	4443
578	6095	4432
579	6106	4421
580	6116	4410
581	6126	4400
582	6136	4389
583	6147	4378
584	6157	4367
585	6167	4357
586	6177	4346
587	6188	4335
588	6198	4325
589	6209	4314
590	6219	4304
591	6229	4293
592	6239	4282
593	6250	4272
594	6260	4261
595	6270	4250
596	6281	4240
597	6291	4229
598	6301	4218
599	6312	4208
600	6322	4197
601	6332	4186
602	6343	4176
603	6353	4165
604	6363	4154
605	6375	4145
606	6386	4134
607	6396	4124
608	6406	4113
609	6417	4102
610	6427	4092
611	6438	4081
612	6448	4070
613	6458	4060
614	6468	4049
615	6479	4039
616	6489	4028
617	6500	4017
618	6510	4007
619	6523	3998
620	6533	3987
621	6543	3976
622	6553	3966
623	6564	3955
624	6574	3944
625	6584	3933
626	6594	3923
627	6604	3912
628	6614	3901
629	6625	3891
630	6635	3880
631	6645	3869
632	6656	3859
633	6667	3848
634	6677	3838
635	6688	3827
636	6698	3817
637	6709	3806
638	6719	3796
639	6729	3785
640	6740	3774
641	6750	3764
642	6760	3753
643	6771	3743
644	6781	3732
645	6791	3721
646	6793	3706
647	6803	3695
648	6813	3685
649	6824	3674
650	6834	3664
651	6844	3653
652	6855	3642
653	6865	3632
654	6875	3621
655	6885	3610
656	6896	3600
657	6906	3589
658	6916	3579
659	6927	3568
660	6937	3558
661	6948	3547
662	6958	3536
663	6968	3526
664	6979	3515
665	6989	3505
666	6999	3494
667	7009	3483
668	7019	3473
669	7030	3462
670	7040	3452
671	7051	3441
672	7061	3430
673	7071	3420
674	7081	3409
675	7092	3399
676	7102	3388
677	7112	3377
678	7123	3367
679	7134	3357
680	7144	3346
681	7154	3336
682	7165	3325
683	7175	3314
684	7185	3304
685	7195	3293
686	7206	3283
687	7216	3272
688	7226	3261
689	7236	3251
690	7247	3240
691	7257	3230
692	7268	3219
693	7278	3209
694	7288	3198
695	7298	3188
696	7309	3177
697	7319	3166
698	7329	3156
699	7340	3145
700	7350	3135
701	7360	3124
702	7371	3114
703	7381	3103
704	7391	3093
705	7402	3082
706	7412	3071
707	7422	3061
708	7432	3050
709	7442	3040
710	7453	3029
711	7463	3018
712	7473	3008
713	7484	2997
714	7494	2987
715	7504	2976
716	7515	2966
717	7525	2955
718	7535	2945
719	7546	2934
720	7556	2924
721	7567	2913
722	7577	2903
723	7587	2892
724	7597	2881
725	7608	2871
726	7618	2860
727	7628	2850
728	7638	2839
729	7648	2829
730	7659	2818
731	7669	2808
732	7679	2797
733	7690	2786
734	7700	2776
735	7710	2765
736	7721	2755
737	7731	2744
738	7741	2734
739	7752	2723
740	7762	2713
741	7772	2702
742	7782	2691
743	7793	2681
744	7803	2670
745	7813	2660
746	7823	2649
747	7834	2639
748	7844	2628
749	7854	2618
750	7864	2607
751	7875	2597
752	7885	2586
753	7895	2576
754	7906	2565
755	7916	2554
